current,setpoint,rate_change,cycle_ratio
105,165,1,1
139,165,1.61904761904762,0.224308435494124
169,165,1.42857142857143,0.05
181,165,0.571428571428571,0.05
185,165,0.19047619047619,0.213058885676354
185,165,0,0.20985627484809
185,165,0,0.193202404997967
185,165,0,0.146590692842448
186,165,0.0476190476190476,0.051116212836803
185,165,-0.0476190476190476,0.05
182,165,-0.142857142857143,0.0527504704584663
181,165,-0.0476190476190476,0.05
178,165,-0.142857142857143,0.05
176,165,-0.0952380952380952,0.10393807393846
176,165,0,0.05
174,165,-0.0952380952380952,0.0606709206802179
171,165,-0.142857142857143,0.126369432761262
169,165,-0.0952380952380952,0.120925386918989
167,165,-0.0952380952380952,0.148992257211852
164,165,-0.142857142857143,0.182584403508756
166,165,0.0952380952380952,0.0741174782378611
169,165,0.142857142857143,0.05
171,165,0.0952380952380952,0.05
171,165,0,0.05
171,165,0,0.05
168,165,-0.142857142857143,0.0558773158334585
165,165,-0.142857142857143,0.132782798542089
163,165,-0.0952380952380952,0.187585031999298
161,165,-0.0952380952380952,0.187585031999298
160,165,-0.0476190476190476,0.199036068568159
161,165,0.0476190476190476,0.180842233476815
164,165,0.142857142857143,0.05
167,165,0.142857142857143,0.05
170,165,0.142857142857143,0.05
169,165,-0.0476190476190476,0.05
168,165,-0.0476190476190476,0.0649108162425788
166,165,-0.0952380952380952,0.142098725480073
164,165,-0.0952380952380952,0.148415535597922
164,165,0,0.0908569934191528
164,165,0,0.0931975206180856
164,165,0,0.0955186475647821
166,165,0.0952380952380952,0.05
169,165,0.142857142857143,0.05
170,165,0.0476190476190476,0.05
164,165,-0.285714285714286,0.252910427495395
151,165,-0.619047619047619,0.712258572314802
152,165,0.0476190476190476,0.307597835432252
157,165,0.238095238095238,0.171829511968577
165,165,0.380952380952381,0.05
169,165,0.19047619047619,0.05
172,165,0.142857142857143,0.05
173,165,0.0476190476190476,0.05
172,165,-0.0476190476190476,0.05
172,165,0,0.05
171,165,-0.0476190476190476,0.05
171,165,0,0.05
169,165,-0.0952380952380952,0.05
169,165,0,0.05
168,165,-0.0476190476190476,0.05
165,165,-0.142857142857143,0.100115804182683
163,165,-0.0952380952380952,0.108177063363926
162,165,-0.0476190476190476,0.151269912603444
162,165,0,0.05
160,165,-0.0952380952380952,0.164884596855972
158,165,-0.0952380952380952,0.26124549172077
157,165,-0.0476190476190476,0.236942527115585
159,165,0.0952380952380952,0.079096730908646
161,165,0.0952380952380952,0.131608306881196
164,165,0.142857142857143,0.05
166,165,0.0952380952380952,0.05
166,165,0,0.0757228154385531
166,165,0,0.0733919067515267
166,165,0,0.0710634750790066
166,165,0,0.0687306374311447
166,165,0,0.0664049986335967
163,165,-0.142857142857143,0.161754567903163
163,165,0,0.153213424603623
163,165,0,0.12806316739983
164,165,0.0476190476190476,0.0839103990987034
164,165,0,0.116053912507163
164,165,0,0.118388854309365
163,165,-0.0476190476190476,0.120724728438589
164,165,0.0476190476190476,0.123057513104545
165,165,0.0476190476190476,0.05
